turn,student_msg,tutor_msg,student_id,course,predicted_labels_student_msg,predicted_confidence_student_msg,predicted_labels_tutor_msg,predicted_confidence_tutor_msg
1,"Hi, I'm struggling with writing essays. Can you help me improve?","Of course! Let's focus on structure: intro, thesis, body paragraphs with topic sentences, evidence, and conclusion. Also, make sure to proofread for clarity and grammar. Practice writing short essays regularly. How does this help?",english_course_student_1,english_course,Small Talk,0.92861086,Clarification,0.99526596
2,"Sure, that's helpful. What do you mean by a strong thesis statement?","A strong thesis statement clearly states your main argument or claim. It should be specific and debatable. For example: ""While traditional schooling has its merits, online education offers more flexibility and better scalability."" This sets up a clear direction for the essay.",english_course_student_1,english_course,Clarification,0.9989907,Clarification,0.99478614
3,Got it. What should I do if I get stuck on the body paragraphs?,"Start with a topic sentence for each paragraph. Follow with evidence and explanation. If stuck, ask yourself: What point am I trying to make? What evidence supports it? Brainstorm ideas, then connect them logically.",english_course_student_1,english_course,Clarification,0.9969896,Clarification,0.99949276
4,Thank you. How can I improve my introduction to make it more engaging?,"Start with a hook (fact, quote, question) to grab attention. Then briefly introduce the topic and end with your thesis. Keep it concise and engaging.",english_course_student_1,english_course,Clarification,0.99518186,Clarification,0.9990007
5,"Great, thanks! How can I avoid common pitfalls in my essays?","Avoid: vague language, irrelevant examples, and wandering from your topic. Always stick to your thesis, use clear transitions, and proofread for clarity and logic.",english_course_student_1,english_course,Small Talk,0.5426426,Clarification,0.9863349
6,Got it. What about transitions between paragraphs?,"Use linking words like ""however,"" ""furthermore,"" ""similarly."" Show how each para builds or contrasts. It helps smooth flow and maintains focus.",english_course_student_1,english_course,Clarification,0.877187,Statement,0.99660385
7,Thanks! Can you suggest a few examples of linking words?,"Sure! Try: 
- Similarly
- However
- Furthermore
- Nonetheless
- Consequently
- Firstly, Secondly
This adds clarity and structure.",english_course_student_1,english_course,Clarification,0.9994991,Clarification,0.9981464
8,"Thanks, that's really helpful! How do I know if my essay is well-written?","Check: clear thesis, well-developed points, strong evidence, good transitions, and no major grammar/typos. Ask someone else to read it too!",english_course_student_1,english_course,Small Talk,0.99843174,Clarification,0.9975642
1,"Hi, Can you explain how to use the passive voice in English?","The passive voice is used when you want to emphasize the action rather than the doer. To form it: ""be"" + past participle. For example, ""The cake was eaten"" emphasizes the eating, not who ate it.",english_course_student_2,english_course,Clarification,0.9996388,Statement,0.9847751
2,"Sure, could you give me another example of the passive voice to better understand when to use it?","Of course! ""The book was written by a famous author"" emphasizes the book and the action of writing, not the specific author.",english_course_student_2,english_course,Clarification,0.99968076,Statement,0.8470695
3,Can you provide another example where the passive voice emphasizes the action rather than the doer?,"Sure! ""The windows were broken last night."" This emphasizes that the windows were broken but doesn't specify who broke them.",english_course_student_2,english_course,Clarification,0.99965096,Small Talk,0.5755808
