turn,student_msg,tutor_msg,student_id,course,predicted_labels_student_msg,predicted_confidence_student_msg,predicted_labels_tutor_msg,predicted_confidence_tutor_msg
1,"Hi, I’m learning Spanish and need help practising.","Great! Let's start with a simple sentence. Try saying ""Mi nombre es [your name]"" in Spanish.",spanish_course_student_1,spanish_course,Small Talk,0.9958335,Clarification,0.9851907
2,"Got it! So, I would say ""Mi nombre es Juan"" if my name was Juan. Can you give me another example with a different name?","Exactly! For the name ""Ana,"" you'd say: ""Mi nombre es Ana."" Great job!",spanish_course_student_1,spanish_course,Clarification,0.9984968,Small Talk,0.94970936
3,"Thank you! Could you give me another example with a different name, please?","Sure! For the name ""Carlos,"" you'd say: ""Mi nombre es Carlos."" Keep practicing!",spanish_course_student_1,spanish_course,Clarification,0.9983164,Clarification,0.6632631
4,"Got it! ""Mi nombre es Carlos."" What's another simple sentence I can practice?","Great! Try: ""¿Cómo te llamas?"" (How do you name yourself?).",spanish_course_student_1,spanish_course,Small Talk,0.8224952,Small Talk,0.9761277
5,"Is that the same as ""Mi nombre es [name]""?","No, those are different. ""¿Cómo te llamas?"" means ""What is your name?"" It's a question.",spanish_course_student_1,spanish_course,Clarification,0.9433122,Clarification,0.8993255
6,"Got it! So, if someone asks me ""¿Cómo te llamas?"" I would answer with ""Mi nombre es [name]."" Thanks!","Exactly! You got it. Now try asking someone else: ""¿Cómo te llamas?""",spanish_course_student_1,spanish_course,Clarification,0.49835113,Small Talk,0.62823886
7,"Sure! I'll try: ""¿Cómo te llamas? Mi nombre es Juan.""","Close, but not quite! When asking, you only say ""¿Cómo te llamas?"" Then, if someone asks back, you can say ""Mi nombre es Juan."" Practice the separate parts first!",spanish_course_student_1,spanish_course,Small Talk,0.54652476,Clarification,0.9982651
8,"Got it! So, if someone asks ""¿Cómo te llamas?"" I should answer just ""Me llamo [name]."" Correct?","Yes, exactly! If someone asks ""¿Cómo te llamas?"" you can respond with ""Me llamo Juan."" Great job!",spanish_course_student_1,spanish_course,Clarification,0.9852858,Small Talk,0.7829782
1,"Hi, how do I use past tense verbs in Spanish?","In Spanish, past tense is often expressed using ""yer"" (preterite) or ""haber"" (imperfect). 

Yer: Used for specific, completed actions in the past.
Haber: Used for actions that were happening or habitual in the past.

Would you like examples of each?",spanish_course_student_2,spanish_course,Small Talk,0.8797519,Clarification,0.9892707
2,"Sure, could you give me examples of each?","Sure!

**Yer (Preterite):**  
Yo comí una manzana. (I ate an apple.)

**Haber (Imperfect):**  
Yo comía manzanas todos los días. (I used to eat apples every day.)

Do you see the difference? Let me know if you need more examples!",spanish_course_student_2,spanish_course,Clarification,0.99913317,Clarification,0.8036874
3,"Got it! Thanks for the examples. Can you give me a simple sentence using the ""yer"" form and another using the ""haber"" form?","Of course!

**Using ""yer"":**  
Ella caminó a la ciudad ayer. (She walked to the city yesterday.)

**Using ""había"":**  
Había mucha gente en la playa anoche. (There were many people at the beach last night.)

Let me know if you need more practice!",spanish_course_student_2,spanish_course,Clarification,0.99779785,Small Talk,0.9872677
4,"That's helpful! Can you give me another sentence using the ""había"" form, but in the past perfect tense?","Sure! In Spanish, the past perfect tense is typically expressed using ""había + pasado"":

Era de día y había comido antes. (It was daytime and I had eaten before.)

Does this help? Let me know if you need more examples!",spanish_course_student_2,spanish_course,Clarification,0.9988299,Clarification,0.9957123
5,"Great! Thank you. Could you also show me the difference between ""había"" and ""habíamos"" in a sentence?","Of course!

**Había:**  
Había lluvia en la mañana. (There was rain in the morning.)

**Habíamos:**  
Habíamos vuelto a casa antes del almuerzo. (We had come back home before lunch.)

Does that clarify the difference?",spanish_course_student_2,spanish_course,Clarification,0.9913435,Clarification,0.74912477
6,"Thank you! That's really helpful. Could you give me a sentence using ""habíamos"" in the past perfect tense?","Absolutely!

**Habíamos:**  
Habíamos terminado el trabajo antes de la cena. (We had finished the work before dinner.)",spanish_course_student_2,spanish_course,Clarification,0.9812589,Small Talk,0.9867889
7,"Got it! Thanks a lot for the examples. One last question: When would I use ""había"" versus ""habíamos""?","Sure thing!

**Había** (third person singular or impersonal):
- Used when talking about a general state or condition.
Example: Había paz en la ciudad. (There was peace in the city.)

**Habíamos** (first person plural):
- Used for actions or states shared by a group of people.
Example: Habíamos terminado la clase. (We had finished the class.)

Let me know if you have any more questions!",spanish_course_student_2,spanish_course,Clarification,0.9646081,Clarification,0.9925626
8,"Thanks! One last clarification: ""Habíamos"" is for first person plural, right? So, if I'm talking about just myself, would I use ""había""?","Exactly right! 

**Había** is for first person singular or impersonal:
- For talking about a condition or action that applies to just you.
Example: Había olvidado mi libro. (I had forgotten my book.)

**Habíamos** is for first person plural:
- For actions or states shared by a group.
Example: Habíamos olvidado nuestros libros. (We had forgotten our books.)

Got it? Let me know if you need more examples!",spanish_course_student_2,spanish_course,Clarification,0.99575436,Clarification,0.9895564
